cusnum,一般消费分期平台,银行个人业务,直销银行,财产保险,小额贷款公司,P2P网贷,大型消费金融公司,大数据金融,银行消费金融公司,信用卡中心,网上银行,综合类电商平台,互联网金融门户,银行小微贷款,O2O,融资租赁,第三方服务商
66,1,NA,1,2,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
67,3,NA,NA,1,1,12,1,1,3,1,NA,NA,NA,NA,NA,NA,NA
68,9,2,NA,NA,4,15,3,NA,1,NA,NA,1,NA,1,1,NA,NA
69,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
70,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
71,3,NA,NA,NA,3,8,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
72,7,NA,NA,1,2,16,1,1,4,1,1,1,1,NA,NA,NA,NA
73,4,NA,NA,NA,1,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
74,4,NA,NA,NA,1,4,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA
75,20,NA,NA,1,10,42,2,NA,1,1,NA,NA,2,1,1,NA,1
76,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA
77,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
78,3,NA,NA,1,NA,2,3,NA,3,NA,1,NA,NA,NA,NA,NA,1
79,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
80,6,NA,1,2,1,10,2,1,2,NA,1,NA,NA,NA,NA,NA,1
81,3,1,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
82,31,2,NA,NA,40,61,2,1,4,2,NA,1,2,1,1,NA,1
83,4,NA,NA,NA,2,14,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA
84,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2,NA,NA,NA,1,8,2,1,3,NA,2,1,NA,NA,NA,NA,NA
86,8,NA,NA,NA,2,16,3,NA,3,1,NA,NA,1,NA,NA,NA,NA
87,NA,NA,NA,NA,1,NA,2,NA,2,1,1,1,NA,NA,NA,NA,NA
88,5,1,NA,NA,1,10,2,1,2,NA,NA,NA,1,NA,NA,NA,NA
89,6,1,1,NA,NA,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA
90,2,NA,NA,NA,1,5,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
91,6,NA,NA,NA,4,8,3,1,3,2,NA,1,1,NA,NA,NA,NA
92,2,NA,NA,NA,2,2,1,NA,2,3,NA,1,NA,NA,1,NA,NA
93,2,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,NA,NA,NA,NA,NA
94,4,1,NA,NA,NA,5,2,NA,2,1,NA,1,NA,NA,NA,NA,NA
95,4,NA,NA,NA,NA,3,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA
96,3,NA,NA,1,2,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
97,2,NA,NA,NA,NA,2,1,NA,2,NA,2,1,NA,1,NA,NA,NA
98,2,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA
99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
100,4,NA,NA,1,1,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
101,7,NA,NA,NA,3,4,NA,1,3,NA,1,1,NA,NA,NA,NA,NA
102,2,NA,NA,NA,NA,1,2,NA,4,1,1,NA,NA,NA,NA,NA,NA
103,4,NA,NA,1,1,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA
104,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,1,NA,NA,NA,NA,NA
105,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
106,2,NA,NA,1,NA,4,2,NA,2,NA,2,NA,1,NA,NA,NA,NA
107,4,NA,NA,NA,NA,2,1,1,3,1,2,1,NA,NA,NA,NA,NA
