age
18
46
54
56
29
41
46
53
42
56
27
24
28
58
47
22
56
32
39
48
33
59
39
57
41
56
45
42
53
27
23
21
19
50
23
18
21
28
57
58
30
44
25
24
42
30
42
24
19
18
34
30
20
25
23
38
46
21
56
53
21
24
55
30
32
26
34
40
26
53
38
32
48
42
28
29
28
46
53
58
30
45
44
41
29
46
32
47
47
29
56
25
30
34
29
34
21
36
39
29
27
27
40
33
28
29
22
34
52
42
40
41
46
26
56
41
21
24
23
42
56
36
41
30
55
43
34
37
51
32
28
36
47
47
39
47
45
36
27
53
54
28
52
38
32
18
31
55
44
41
26
28
33
59
39
32
50
54
36
48
42
47
42
53
26
36
55
51
29
44
40
28
40
56
38
22
45
40
58
56
34
36
30
53
45
48
30
26
34
38
46
53
36
52
38
30
34
45
41
32
18
53
32
46
35
32
35
36
39
44
40
38
37
41
36
46
32
56
36
33
30
28
34
26
40
30
53
43
25
22
32
37
32
51
33
35
22
36
51
27
59
39
45
30
50
53
31
31
48
46
32
53
48
53
31
49
32
30
49
48
32
25
19
41
39
30
22
29
29
44
41
22
42
58
56
54
42
49
58
28
46
51
47
22
24
36
26
28
35
26
35
42
43
17
27
25
32
45
40
28
19
43
41
41
44
43
47
53
28
34
41
36
32
30
34
27
30
52
36
32
30
30
24
34
17
37
25
19
21
21
34
19
20
20
20
30
36
28
27
21
39
27
40
31
48
34
48
22
47
32
17
37
27
31
31
34
18
35
22
23
21
23
25
24
46
38
20
43
24
19
21
26
30
49
31
21
32
19
40
34
22
42
21
32
28
22
24
26
17
28
33
18
32
28
24
49
29
46
36
21
46
37
38
38
36
24
38
39
24
41
28
37
48
37
36
44
27
45
32
38
31
31
37
45
44
18
36
39
40
40
33
32
25
29
35
41
26
46
33
30
43
45
36
28
29
50
46
40
37
43
35
34
38
39
43
26
27
26
32
31
28
26
57
26
26
34
41
33
27
28
26
42
41
31
34
32
35
24
35
39
18
36
36
30
23
23
16
46
46
21
32
36
37
41
40
18
18
45
19
29
30
30
30
42
35
24
17
28
36
36
26
43
30
26
44
44
17
36
33
40
43
29
48
33
31
21
39
35
44
34
34
39
24
22
26
47
42
39
28
48
49
32
45
32
26
39
35
50
33
37
17
21
37
40
50
22
19
58
30
31
41
37
30
38
23
32
20
26
26
38
38
34
44
39
37
45
29
32
26
36
45
31
42
46
38
31
42
38
32
37
44
33
29
36
31
50
37
19
38
45
56
32
29
27
37
27
23
41
39
49
45
45
43
53
36
45
41
30
37
44
47
30
24
46
44
35
48
26
45
33
40
43
26
29
39
52
25
45
56
34
30
30
49
48
26
39
34
34
32
38
27
25
38
38
25
31
45
43
24
25
22
43
22
32
26
30
42
32
30
25
25
24
43
36
49
41
43
42
26
18
19
48
43
