年,月,日,时,分,实际功率
2013,9,3,17,15,5.25525
2013,9,3,17,30,4.76888
2013,9,3,17,45,4.266155
2013,9,3,18,0,3.761575
2013,9,3,18,15,3.175685
2013,9,3,18,30,2.605475
2013,9,3,18,45,2.01089
2013,9,3,19,0,1.43878
2013,9,3,19,15,0.94032
2013,9,3,19,30,0.536365
2013,9,3,19,45,0.270363
2013,9,3,20,0,0.1165635
2013,9,3,20,15,0.0181742
2013,9,3,20,30,-0.0136026
2013,9,3,20,45,-0.01349745
2013,9,3,21,0,-0.01367505
2013,9,3,21,15,-0.01449555
2013,9,3,21,30,-0.01432625
2013,9,3,21,45,-0.01438545
2013,9,3,22,0,-0.01438545
2013,9,3,22,15,-0.01193575
2013,9,3,22,30,-0.01112945
2013,9,3,22,45,-0.01201745
2013,9,3,23,0,-0.0100639
2013,9,3,23,15,-0.00848305
2013,9,3,23,30,-0.0081103
2013,9,3,23,45,-0.0095903
2013,9,4,0,0,-0.00812585
2013,9,4,0,15,-0.0087023
2013,9,4,0,30,-0.0073407
2013,9,4,0,45,-0.0084063
2013,9,4,1,0,-0.00776865
2013,9,4,1,15,-0.0088799
2013,9,4,1,30,-0.0069855
2013,9,4,1,45,-0.00633995
2013,9,4,2,0,-0.0062751
2013,9,4,2,15,-0.0069263
2013,9,4,2,30,-0.0066895
2013,9,4,2,45,-0.006459
2013,9,4,3,0,-0.0066303
2013,9,4,3,15,-0.0075775
2013,9,4,3,30,-0.00591995
2013,9,4,3,45,-0.006459
2013,9,4,4,0,-0.0068079
2013,9,4,4,15,-0.0062159
2013,9,4,4,30,-0.0066376
2013,9,4,4,45,-0.0063935
2013,9,4,5,0,-0.0062159
2013,9,4,5,15,-0.0060975
2013,9,4,5,30,-0.00592325
2013,9,4,5,45,-0.0060975
2013,9,4,6,0,-0.00586075
2013,9,4,6,15,-0.00735195
2013,9,4,6,30,-0.00586075
2013,9,4,6,45,-0.0063935
2013,9,4,7,0,-0.0061567
2013,9,4,7,15,-0.0080068
2013,9,4,7,30,2.96E-05
2013,9,4,7,45,0.0812805
2013,9,4,8,0,0.3702025
2013,9,4,8,15,0.50535
2013,9,4,8,30,0.664805
2013,9,4,8,45,1.15039
2013,9,4,9,0,1.805545
2013,9,4,9,15,1.73344
2013,9,4,9,30,2.226395
2013,9,4,9,45,2.167285
2013,9,4,10,0,2.098965
2013,9,4,10,15,3.613345
2013,9,4,10,30,4.93153
2013,9,4,10,45,5.82145
2013,9,4,11,0,6.15325
2013,9,4,11,15,6.58255
2013,9,4,11,30,6.9997
2013,9,4,11,45,7.24035
2013,9,4,12,0,7.06115
2013,9,4,12,15,7.4639
2013,9,4,12,30,7.31415
2013,9,4,12,45,7.0761
2013,9,4,13,0,6.99
2013,9,4,13,15,7.93375
2013,9,4,13,30,6.7501
2013,9,4,13,45,5.27105
2013,9,4,14,0,6.22765
2013,9,4,14,15,6.74105
2013,9,4,14,30,4.27776
