年,月,日,时,分,总辐射(W/㎡),直接辐射(W/㎡),散辐射(W/㎡),风速(m/s),风向(°),环境温度(°C),湿度(%RH)
2013,9,5,14,20,0,0,0,24.74,12.77,1.583,54.62
2013,9,5,14,25,0,0,0,24.54,12.9,1.589,60.4
2013,9,5,14,30,0,0,0,24.56,12.93,1.9,67.49
2013,9,5,14,35,0,0,0,24.55,13.03,2.172,58.85
2013,9,5,14,40,0,0,0,24.54,13.13,1.807,57.71
2013,9,5,14,45,0,0,0,24.63,13.09,2.212,65.43
2013,9,5,14,50,0,0,0,24.67,13.13,2.015,62.8
2013,9,5,14,55,0.008,0,0.008,24.57,13.2,1.823,65.35
2013,9,5,15,0,0,0,0,24.4,13.38,1.773,57.48
2013,9,5,15,5,0.008,0,0.008,24.26,13.48,1.879,60.36
2013,9,5,15,10,0,0,0,24.22,13.44,1.879,63.32
2013,9,5,15,15,0,0,0,24.17,13.42,2.295,68.93
2013,9,5,15,20,0,0,0,24.08,13.4,2.715,74.08
2013,9,5,15,25,0,0,0,24.14,13.29,3.054,68.77
2013,9,5,15,30,0,0,0,24.12,13.29,2.819,63.3
2013,9,5,15,35,0,0,0,24.17,13.25,2.561,62.2
2013,9,5,15,40,0,0,0,24.26,13.15,2.883,65.6
2013,9,5,15,45,0,0,0,24.08,13.25,2.662,64.56
2013,9,5,15,50,0,0,0,24.06,13.32,2.798,65.4
2013,9,5,15,55,0,0,0,24.24,13.25,3.038,67.04
2013,9,5,16,0,0,0,0,24.24,13.31,3.046,66.05
2013,9,5,16,5,0,0,0,24.19,13.5,3.168,68.37
2013,9,5,16,10,0,0,0,24.23,13.55,3.237,65.98
2013,9,5,16,15,0,0,0,24.19,13.58,3.453,67.32
2013,9,5,16,20,0.008,0,0.008,24.14,13.62,3.267,73.36
2013,9,5,16,25,0.008,0,0.008,24.12,13.67,3.688,71.77
2013,9,5,16,30,0,0,0,24.11,13.67,4.143,71.65
2013,9,5,16,35,0,0,0,23.96,13.81,3.666,70.39
2013,9,5,16,40,0,0,0,24.21,13.65,3.807,70.12
2013,9,5,16,45,0,0,0,24.12,13.7,3.291,69.34
2013,9,5,16,50,0,0,0,24.12,13.71,3.49,69.38
2013,9,5,16,55,0,0,0,24.1,13.73,2.947,66.36
2013,9,5,17,0,0,0,0,24.02,13.81,3.528,71.69
2013,9,5,17,5,0,0,0,23.96,13.88,3.757,70.72
2013,9,5,17,10,0,0,0,23.84,13.95,3.898,71.31
2013,9,5,17,15,0,0,0,23.85,13.9,3.879,69.11
2013,9,5,17,20,0,0,0,23.73,13.96,3.533,71.56
2013,9,5,17,25,0,0,0,23.84,13.87,3.799,70.9
2013,9,5,17,30,0,0,0,23.73,13.95,3.557,70.75
2013,9,5,17,35,0,0,0,23.6,14.04,3.365,70.33
2013,9,5,17,40,0,0,0,23.7,13.92,3.517,71.93
2013,9,5,17,45,0,0,0,23.7,13.93,3.815,70.68
2013,9,5,17,50,0,0,0,23.87,13.78,3.962,70.82
2013,9,5,17,55,0,0,0,23.96,13.77,3.903,71.35
2013,9,5,18,0,0,0,0,23.88,13.86,3.874,69.78
2013,9,5,18,5,0,0,0,23.71,13.99,4.513,72.57
2013,9,5,18,10,0,0,0,23.59,14.11,4.854,73.85
2013,9,5,18,15,0,0,0,23.59,14.14,4.505,76.82
2013,9,5,18,20,0,0,0,23.69,14.07,4.516,76.84
2013,9,5,18,25,0,0,0,23.72,14.05,4.002,82.7
2013,9,5,18,30,0,0,0,22.71,14.75,3.28,94.8
2013,9,5,18,35,0,0,0,22.1,15.35,3.608,92.9
2013,9,5,18,40,0,0,0,22.32,15.22,3.584,86.7
2013,9,5,18,45,0,0,0,22.76,14.86,3.616,79.47
2013,9,5,18,50,0,0,0,23.08,14.6,4.146,81.8
2013,9,5,18,55,0,0,0,23.52,14.24,4.228,78.35
2013,9,5,19,0,0,0,0,22.81,14.8,3.453,90.3
2013,9,5,19,5,0,0,0,22.43,15.09,3.379,88.6
2013,9,5,19,10,0,0,0,22.6,15.01,3.703,81.3
2013,9,5,19,15,0.008,0,0.008,22.66,15.03,4.087,80
2013,9,5,19,20,0,0,0,22.89,14.88,4.364,77.43
2013,9,5,19,25,0,0,0,23.06,14.71,4.737,77.77
2013,9,5,19,30,0,0,0,23.38,14.44,5.019,76.39
2013,9,5,19,35,0,0,0,23.17,14.58,4.771,75.41
2013,9,5,19,40,0.008,0,0.008,23.15,14.6,4.447,78.27
2013,9,5,19,45,0,0,0,22.91,14.8,3.552,79.68
2013,9,5,19,50,0,0,0,22.73,14.93,3.893,77.1
2013,9,5,19,55,0,0,0,22.99,14.63,4.079,72.07
2013,9,5,20,0,0,0,0,22.95,14.55,3.714,69.61
2013,9,5,20,5,0,0,0,22.78,14.61,3.477,69.21
2013,9,5,20,10,0,0,0,22.48,14.83,3.168,62.75
2013,9,5,20,15,0,0,0,22.18,15.1,2.787,67.77
2013,9,5,20,20,0,0,0,21.85,15.39,3.384,67.19
2013,9,5,20,25,0,0,0,21.88,15.37,3.248,76.61
2013,9,5,20,30,0,0,0,21.81,15.5,3.192,84.2
2013,9,5,20,35,0,0,0,22.22,15.07,3.81,89.2
2013,9,5,20,40,0,0,0,21.97,15.37,3.344,83.9
2013,9,5,20,45,0.049,0,0.049,21.75,15.64,3.413,88
2013,9,5,20,50,0.278,0,0.278,21.96,15.4,3.16,90.5
2013,9,5,20,55,0.262,0,0.262,22.11,15.16,3.2,89.4
2013,9,5,21,0,0.237,0,0.237,21.83,15.4,3.062,80.7
2013,9,5,21,5,0.213,0,0.213,21.99,15.25,3.067,79.45
2013,9,5,21,10,0,0,0,22.01,15.18,3.15,77.99
2013,9,5,21,15,0,0,0,21.83,15.28,3.301,75.48
2013,9,5,21,20,0.188,0,0.188,21.72,15.4,3.016,79.13
2013,9,5,21,25,0,0,0,21.39,15.71,2.875,78.47
2013,9,5,21,30,0,0,0,21.12,15.89,2.83,79.04
2013,9,5,21,35,0,0,0,20.96,16.08,2.987,76.15
2013,9,5,21,40,0,0,0,21.18,15.98,2.992,75.62
2013,9,5,21,45,0,0,0,21.18,16.05,2.867,79.85
2013,9,5,21,50,0,0,0,21.16,16.06,2.838,84.9
2013,9,5,21,55,0,0,0,20.81,16.32,3.04,89.4
2013,9,5,22,0,0,0,0,20.77,16.31,3.698,97.4
2013,9,5,22,5,0,0,0,21.24,15.88,4.044,103.6
2013,9,5,22,10,0,0,0,21.77,15.47,4.383,102.2
2013,9,5,22,15,0,0,0,21.81,15.4,4.151,101.9
2013,9,5,22,20,0,0,0,21.69,15.5,3.935,98.2
2013,9,5,22,25,0,0,0,21.16,15.92,3.269,93
2013,9,5,22,30,0,0,0,20.89,16.25,3.016,83.1
2013,9,5,22,35,0,0,0,21.28,15.86,3.075,64.04
2013,9,5,22,40,0,0,0,20.72,16.35,2.263,52.66
2013,9,5,22,45,0,0,0,20.64,16.55,2.715,56.39
2013,9,5,22,50,0,0,0,21.5,15.97,2.457,65.53
2013,9,5,22,55,0,0,0,21.21,16.54,2.329,59.57
2013,9,5,23,0,0.033,0,0.033,21.03,16.81,2.241,67.83
2013,9,5,23,5,0.352,0,0.352,20.65,17.4,2.135,59.88
2013,9,5,23,10,1.308,0,1.308,20.42,17.73,2.465,55.9
2013,9,5,23,15,2.779,0,2.779,20.26,17.91,2.54,58.24
2013,9,5,23,20,3.649,0,3.649,20.23,17.95,2.849,66.98
2013,9,5,23,25,3.015,0,3.015,20.14,18.04,2.734,68.93
2013,9,5,23,30,7.624,0,7.624,20.11,18.04,2.912,63.63
2013,9,5,23,35,13.32,0,13.32,20.14,18,3.272,73.44
2013,9,5,23,40,25.05,20.55,23.78,20.34,17.82,3.703,71.69
2013,9,5,23,45,42.06,192.1,27.97,20.4,17.76,3.363,71.27
2013,9,5,23,50,55.5,279.3,30.9,20.36,17.81,2.971,67.87
2013,9,5,23,55,70.08,338.2,35.06,20.64,17.66,3.267,69.53
